,638de4c468f31919048f189c; 63932c8868f319085df375bf / B1_4xAA; Soil_tension / SoilHumiditySensor,638de4c468f31919048f189c; 63932c8868f319085df375c1 / B1_4xAA; Resistance / ,638de4c468f31919048f189c; 63932c8868f319085df375c3 / B1_4xAA; Soil_temperature / SoilThermometer,638de4c468f31919048f189c; 63932c8868f319085df375c7 / B1_4xAA; Battery_voltage / BoardVoltageSensor,638de53168f31919048f189d; 63932c6e68f319085df375b5 / B2_solar_x2_03; Soil_tension / SoilHumiditySensor,638de53168f31919048f189d; 63932c6e68f319085df375b7 / B2_solar_x2_03; Resistance / ,638de53168f31919048f189d; 63932c6e68f319085df375b9 / B2_solar_x2_03; Soil_temperature / SoilThermometer,638de53168f31919048f189d; 63932c6e68f319085df375bd / B2_solar_x2_03; Battery_voltage / BoardVoltageSensor,638de56a68f31919048f189e; 63932ce468f319085df375c9 / B3_solar_x1_02; Soil_tension / SoilHumiditySensor,638de56a68f31919048f189e; 63932ce468f319085df375cb / B3_solar_x1_02; Resistance / ,638de56a68f31919048f189e; 63932ce468f319085df375cd / B3_solar_x1_02; Soil_temperature / SoilThermometer,638de56a68f31919048f189e; 63932ce468f319085df375d1 / B3_solar_x1_02; Battery_voltage / BoardVoltageSensor,638de57568f31919048f189f; 63932c3668f319085df375ab / B4_solar_x1_03; Soil_tension / SoilHumiditySensor,638de57568f31919048f189f; 63932c3668f319085df375ad / B4_solar_x1_03; Resistance / ,638de57568f31919048f189f; 63932c3668f319085df375af / B4_solar_x1_03; Soil_temperature / SoilThermometer,638de57568f31919048f189f; 63932c3668f319085df375b3 / B4_solar_x1_03; Battery_voltage / BoardVoltageSensor
2023-02-08T16:30:00+01:00,,,,,5.90000,84.30000,12.00000,3.93000,12.30000,122.70000,28.00000,4.03000,9.80000,129.50000,12.60000,4.06000
2023-02-08T16:40:00+01:00,,,,,6.00000,84.30000,12.00000,3.93000,12.30000,122.70000,28.00000,4.03000,9.80000,129.50000,12.60000,4.06000
2023-02-08T16:50:00+01:00,,,,,5.90000,84.30000,12.00000,3.93000,12.30000,122.60000,28.00000,4.03000,9.80000,129.50000,12.60000,4.06000
2023-02-08T17:00:00+01:00,,,,,6.00000,84.30000,12.00000,3.93000,12.30000,122.70000,28.00000,4.03000,9.80000,129.50000,12.60000,4.05000
2023-02-08T17:10:00+01:00,,,,,5.90000,84.30000,12.00000,3.93000,12.30000,122.70000,28.00000,4.03000,9.80000,129.50000,12.60000,4.05000
2023-02-08T17:20:00+01:00,,,,,6.00000,84.30000,12.00000,3.93000,12.30000,122.70000,28.00000,4.03000,9.80000,129.50000,12.60000,4.05000
2023-02-08T17:30:00+01:00,,,,,5.90000,84.30000,12.00000,3.93000,12.30000,122.70000,28.00000,4.03000,9.80000,129.50000,12.60000,4.05000
2023-02-08T17:40:00+01:00,,,,,6.00000,84.30000,12.00000,3.93000,12.30000,122.70000,28.00000,4.03000,9.90000,130.20000,12.60000,4.05000
2023-02-08T17:50:00+01:00,,,,,6.00000,84.30000,12.00000,3.92000,12.30000,123.30000,28.00000,4.03000,9.80000,129.60001,12.60000,4.05000
2023-02-08T18:00:00+01:00,,,,,6.00000,84.30000,11.90000,3.92000,12.30000,123.20000,28.00000,4.03000,9.80000,129.50000,12.60000,4.05000
2023-02-08T18:10:00+01:00,,,,,6.00000,84.30000,12.00000,3.92000,12.30000,122.70000,28.00000,4.03000,9.80000,129.50000,12.60000,4.05000
2023-02-08T18:20:00+01:00,,,,,6.00000,84.30000,12.00000,3.92000,12.30000,122.70000,28.00000,4.03000,9.80000,129.50000,12.60000,4.05000
2023-02-08T18:30:00+01:00,,,,,6.00000,84.30000,12.00000,3.92000,12.30000,122.70000,28.00000,4.03000,9.80000,129.70000,12.60000,4.05000
2023-02-08T18:40:00+01:00,,,,,6.00000,84.30000,11.90000,3.92000,12.30000,123.20000,28.00000,4.03000,9.90000,130.10001,12.60000,4.05000
2023-02-08T18:50:00+01:00,,,,,6.00000,84.30000,12.00000,3.92000,12.30000,122.80000,28.00000,4.03000,9.80000,129.10001,12.60000,4.05000
2023-02-08T19:00:00+01:00,,,,,6.10000,84.80000,11.90000,3.92000,12.30000,122.80000,28.00000,4.02000,9.80000,129.60001,12.60000,4.05000
2023-02-08T19:10:00+01:00,,,,,6.00000,84.30000,11.90000,3.92000,12.30000,123.30000,28.00000,4.03000,9.90000,130.10001,12.60000,4.04000
2023-02-08T19:20:00+01:00,,,,,6.00000,84.30000,11.90000,3.92000,12.40000,123.90000,28.00000,4.03000,9.80000,129.70000,12.60000,4.05000
2023-02-08T19:30:00+01:00,,,,,6.10000,84.90000,11.80000,3.91000,12.30000,123.30000,28.00000,4.03000,9.80000,129.60001,12.60000,4.05000
2023-02-08T19:40:00+01:00,,,,,6.00000,84.30000,11.80000,3.92000,12.30000,123.30000,28.00000,4.03000,9.80000,129.70000,12.60000,4.04000
2023-02-08T19:50:00+01:00,,,,,6.10000,84.90000,11.80000,3.92000,12.30000,123.30000,28.00000,4.02000,9.80000,129.70000,12.60000,4.04000
2023-02-08T20:00:00+01:00,,,,,6.00000,84.30000,11.80000,3.92000,12.30000,123.30000,28.00000,4.03000,9.80000,129.70000,12.60000,4.04000
2023-02-08T20:10:00+01:00,,,,,6.00000,84.30000,11.80000,3.92000,12.30000,123.30000,28.00000,4.02000,9.80000,129.70000,12.50000,4.04000
2023-02-08T20:20:00+01:00,,,,,6.00000,84.30000,11.80000,3.92000,12.30000,123.40000,28.00000,4.02000,9.80000,129.70000,12.50000,4.04000
2023-02-08T20:30:00+01:00,,,,,6.00000,84.30000,11.80000,3.92000,12.40000,123.90000,28.00000,4.03000,9.90000,130.20000,12.50000,4.04000
2023-02-08T20:40:00+01:00,,,,,6.10000,84.90000,11.70000,3.92000,12.40000,123.90000,28.00000,4.03000,9.90000,130.20000,12.50000,4.04000
2023-02-08T20:50:00+01:00,,,,,6.00000,84.30000,11.80000,3.91000,12.40000,124.50000,28.00000,4.02000,9.80000,129.70000,12.50000,4.04000
2023-02-08T21:00:00+01:00,,,,,6.00000,84.30000,11.70000,3.92000,12.40000,124.50000,28.00000,4.02000,9.80000,129.70000,12.50000,4.04000
2023-02-08T21:10:00+01:00,,,,,6.00000,84.30000,11.70000,3.91000,12.40000,124.50000,28.00000,4.02000,,,,
2023-02-08T21:20:00+01:00,,,,,6.10000,84.90000,11.60000,3.91000,12.40000,124.50000,28.00000,4.02000,9.80000,130.20000,12.50000,4.04000
2023-02-08T21:30:00+01:00,,,,,6.10000,84.90000,11.60000,3.91000,12.40000,123.90000,28.00000,4.02000,9.80000,129.70000,12.50000,4.04000
2023-02-08T21:40:00+01:00,,,,,6.10000,84.90000,11.60000,3.91000,12.40000,124.50000,28.00000,4.02000,9.80000,130.20000,12.50000,4.04000
2023-02-08T21:50:00+01:00,,,,,6.10000,84.90000,11.60000,3.91000,12.40000,124.50000,28.00000,4.02000,9.90000,130.80000,12.50000,4.04000
2023-02-08T22:00:00+01:00,,,,,6.10000,84.90000,11.60000,3.91000,12.40000,124.50000,28.00000,4.02000,9.80000,130.20000,12.50000,4.04000
2023-02-08T22:10:00+01:00,,,,,6.10000,84.90000,11.60000,3.91000,12.40000,125.10000,28.00000,4.02000,9.80000,129.80000,12.40000,4.04000
2023-02-08T22:20:00+01:00,,,,,6.20000,85.40000,11.60000,3.91000,12.40000,124.50000,28.00000,4.02000,9.80000,129.80000,12.40000,4.04000
2023-02-08T22:30:00+01:00,,,,,6.10000,84.90000,11.60000,3.91000,12.40000,125.10000,28.00000,4.02000,9.80000,130.30000,12.40000,4.04000
2023-02-08T22:40:00+01:00,,,,,6.10000,84.90000,11.60000,3.91000,12.40000,125.60000,28.00000,4.02000,9.80000,129.80000,12.40000,4.04000
2023-02-08T22:50:00+01:00,,,,,6.20000,85.40000,11.50000,3.91000,12.40000,125.10000,28.00000,4.02000,9.80000,130.30000,12.40000,4.04000
2023-02-08T23:00:00+01:00,,,,,6.20000,85.40000,11.50000,3.91000,12.50000,125.70000,28.00000,4.02000,9.80000,130.39999,12.40000,4.04000
2023-02-08T23:10:00+01:00,,,,,6.20000,85.40000,11.50000,3.91000,12.50000,125.70000,28.00000,4.02000,9.90000,130.89999,12.30000,4.04000
2023-02-08T23:20:00+01:00,,,,,6.20000,85.40000,11.50000,3.91000,12.50000,125.70000,28.00000,4.02000,9.90000,132.00000,12.30000,4.04000
2023-02-08T23:30:00+01:00,,,,,6.20000,85.40000,11.50000,3.91000,12.50000,125.70000,28.00000,4.02000,9.80000,129.80000,12.30000,4.04000
2023-02-08T23:40:00+01:00,,,,,6.20000,85.40000,11.40000,3.91000,12.40000,125.20000,28.00000,4.02000,9.80000,130.39999,12.30000,4.03000
2023-02-08T23:50:00+01:00,,,,,6.20000,85.50000,11.40000,3.91000,12.40000,125.20000,28.00000,4.02000,9.80000,130.39999,12.30000,4.04000
2023-02-09T00:00:00+01:00,,,,,6.20000,85.40000,11.40000,3.90000,12.50000,125.70000,28.00000,4.02000,9.90000,130.89999,12.30000,4.04000
2023-02-09T00:10:00+01:00,,,,,6.20000,85.50000,11.40000,3.91000,12.50000,125.80000,28.00000,4.02000,9.80000,130.89999,12.30000,4.03000
2023-02-09T00:20:00+01:00,,,,,6.20000,85.50000,11.30000,3.91000,12.50000,125.80000,28.00000,4.02000,9.80000,130.89999,12.30000,4.03000
2023-02-09T00:30:00+01:00,,,,,6.20000,85.50000,11.30000,3.90000,12.50000,126.90000,28.00000,4.02000,9.80000,130.89999,12.30000,4.03000
2023-02-09T00:40:00+01:00,,,,,6.20000,85.50000,11.30000,3.90000,12.50000,125.80000,28.00000,4.02000,9.90000,131.50000,12.30000,4.03000
2023-02-09T00:50:00+01:00,,,,,6.20000,85.50000,11.30000,3.91000,12.50000,126.90000,28.00000,4.02000,9.80000,130.89999,12.20000,4.03000
2023-02-09T01:00:00+01:00,,,,,6.20000,85.50000,11.30000,3.91000,12.50000,126.40000,28.00000,4.02000,9.80000,130.89999,12.20000,4.03000
2023-02-09T01:10:00+01:00,,,,,6.20000,85.50000,11.30000,3.91000,12.50000,126.40000,28.00000,4.02000,9.90000,131.50000,12.20000,4.03000
2023-02-09T01:20:00+01:00,,,,,6.20000,85.50000,11.30000,3.91000,12.50000,126.40000,28.00000,4.02000,9.80000,130.89999,12.20000,4.03000
2023-02-09T01:30:00+01:00,,,,,6.20000,85.50000,11.20000,3.91000,12.50000,126.40000,28.00000,4.02000,9.90000,131.50000,12.10000,4.03000
2023-02-09T01:40:00+01:00,,,,,6.20000,85.50000,11.20000,3.91000,12.50000,126.90000,28.00000,4.02000,9.80000,130.89999,12.10000,4.03000
2023-02-09T01:50:00+01:00,,,,,6.40000,86.00000,11.20000,3.91000,12.50000,126.40000,28.00000,4.02000,9.90000,131.60001,12.10000,4.03000
